"ProcessId","ProcessName","Path","LocalAddress","LocalPort","RemoteAddress","RemotePort","State"
"2040","svchost",,"","","","",""
"2100","svchost",,"","","","",""
"2292","svchost",,"","","","",""
"2380","svchost",,"","","","",""
"2396","svchost",,"","","","",""
"2492","svchost",,"","","","",""
"2516","svchost",,"","","","",""
"2576","svchost",,"","","","",""
"2616","svchost",,"","","","",""
"2744","svchost",,"","","","",""
"2780","svchost",,"::","49666","::","0","Listen"
"2780","svchost",,"0.0.0.0","49666","0.0.0.0","0","Listen"
"2876","svchost",,"","","","",""
"2892","svchost",,"","","","",""
"2916","svchost","C:\WINDOWS\system32\svchost.exe","","","","",""
"2992","svchost",,"::","49667","::","0","Listen"
"2992","svchost",,"0.0.0.0","49667","0.0.0.0","0","Listen"
"3040","svchost",,"","","","",""
"3052","svchost",,"","","","",""
"3264","svchost",,"","","","",""
"3344","svchost",,"","","","",""
"3352","svchost",,"","","","",""
"3488","svchost",,"","","","",""
"3612","svchost",,"","","","",""
"3620","svchost",,"","","","",""
"3768","svchost",,"","","","",""
"3856","svchost",,"","","","",""
"4068","svchost",,"","","","",""
"4132","svchost",,"","","","",""
"4224","svchost",,"","","","",""
"4348","svchost",,"","","","",""
"4356","svchost",,"","","","",""
"4372","svchost",,"","","","",""
"4400","svchost",,"","","","",""
"4504","svchost",,"","","","",""
"4552","svchost",,"","","","",""
"4600","svchost",,"","","","",""
"4628","svchost",,"","","","",""
"4672","svchost",,"","","","",""
"4724","svchost",,"","","","",""
"4928","svchost",,"","","","",""
"5048","svchost",,"","","","",""
"5148","svchost",,"","","","",""
"5160","svchost",,"::","62506","::","0","Bound"
"5160","svchost",,"2606:4700:110:82a0:670c:1173:4e1a:c39b","62506","2603:1030:40c:e::2","443","Established"
"5188","svchost",,"","","","",""
"5248","svchost",,"","","","",""
"5296","svchost",,"","","","",""
"5352","svchost",,"0.0.0.0","5040","0.0.0.0","0","Listen"
"6676","svchost","C:\WINDOWS\system32\svchost.exe","","","","",""
"6704","svchost",,"","","","",""
"6948","svchost",,"","","","",""
"7184","svchost",,"","","","",""
"7392","svchost","C:\WINDOWS\system32\svchost.exe","","","","",""
"7460","svchost",,"","","","",""
"7540","svchost",,"","","","",""
"7708","svchost",,"","","","",""
"7908","svchost",,"","","","",""
"7972","svchost",,"","","","",""
